Q   I   I_err
0.00226397   0.06035646   0.0159395247
0.00253895   0.04559502   0.0115422486
0.00281393   0.03839484   0.0069842256
0.0030889   0.05186394   0.0056311905
0.00336388   0.065121492   0.00468849069
0.00363886   0.060463458   0.00394853016
0.00391383   0.056894886   0.00342148953
0.00418881   0.055401351   0.00292074858
0.00446378   0.055719795   0.00263512563
0.00473876   0.053865996   0.00234478416
0.00501374   0.049451589   0.00216333381
0.00528871   0.057819363   0.00221795634
0.00556369   0.053403681   0.00201886458
0.00583866   0.053970444   0.00192094968
0.00611364   0.055478871   0.00177547983
0.00638862   0.052147704   0.00168728145
0.00666359   0.054342081   0.00162088557
0.007076055   0.054473661   0.00108198754139
0.00762601   0.0529792845   0.00098306128548
0.00817596   0.0530593035   0.000919564062798
0.00872591   0.05126484045   0.000865043596293
0.009275865   0.0523816308   0.000810371670294
0.00982582   0.0513255585   0.000769629052536
0.0103758   0.052456866   0.00074182898844
0.0109257   0.051885411   0.000703349222067
0.0114757   0.05109303165   0.000678444188067
0.0120256   0.0503371734   0.000653905242114
0.0125756   0.05007484725   0.000638355914997
0.013263   0.0499275040002   0.000500025062118
0.014087933333   0.0481821445998   0.000476419196911
0.0149129   0.0490592256   0.000462849004945
0.0157378   0.0479699947998   0.000447845623332
0.016562733333   0.0463228375998   0.000431018210266
0.017387666667   0.0459622863   0.000417120699062
0.0182126   0.0457363375998   0.000408574728629
0.019175   0.04408742685   0.000340874749457
0.0202749   0.043387963125   0.000327580181106
0.0213748   0.042502258875   0.000318202051879
0.022474725   0.04169336955   0.000306707519425
0.023574625   0.040399893525   0.000296879397313
0.024674525   0.0397176219   0.000289417001109
0.02591192   0.03827368848   0.000249521917059
0.0272868   0.0365574732   0.000240519359635
0.02866168   0.03544256526   0.000232213241948
0.03003656   0.03425209674   0.000224931747298
0.031548933333   0.03287642325   0.000198198316342
0.033198766667   0.03057677205   0.000190638356567
0.03484865   0.02917829085   0.000183501512263
0.0364985   0.0273246984   0.000177087628119
0.038285842857   0.0252109218   0.000157349831779
0.040210671429   0.0232217666141   0.000153437392728
0.042135514286   0.0216823199571   0.000151924985367
0.044060342857   0.0200067156859   0.000144635395951
0.0461226625   0.0176742336   0.000128068083303
0.048322475   0.015607059525   0.000126275185454
0.050522275   0.0135222184125   0.00013025898625
0.052859577778   0.0120544455668   0.000123218526744
0.055334366667   0.00984467449983   0.000111196662863
0.05794663   0.00799304742   9.76866749949e-05
0.0606964   0.00650263005   9.24421287804e-05
0.06344615   0.00512111808   8.72558501118e-05
0.066333409091   0.00377368194544   7.91692281315e-05
0.069358136364   0.00285149113636   7.65310111416e-05
0.072520375   0.00193974334998   7.05688080333e-05
0.075820075   0.00131872952502   6.81539794074e-05
0.079257284615   0.000905593661562   6.34517317479e-05
0.082831969231   0.0007613382   6.18148306836e-05
0.08654415   0.000833762207121   5.82429815307e-05
0.090393821429   0.00118345718571   5.70668680827e-05
0.09438096   0.00159855487998   5.56663035684e-05
0.09864301875   0.0021645987375   5.2996676775e-05
0.1030425   0.00278070009375   5.16729469737e-05
0.10758   0.00341302770002   5.14355898525e-05
0.11239177778   0.00405723728332   5.16797378328e-05
0.1173415   0.00447978503332   4.84176258829e-05
0.12242857895   0.00498094264735   4.59984670775e-05
0.1277905   0.00518199729   4.36533038457e-05
0.13342766667   0.00526453522845   4.14614481817e-05
0.1393395   0.00523817128641   3.95530330879e-05
0.14552652174   0.00501228354782   3.76622898756e-05
0.151851   0.00480185688262   3.69137700594e-05
0.15831283333   0.00449173468752   3.52926761708e-05
0.16505   0.004111317672   3.48210600794e-05
0.17206153846   0.00375468355385   3.45979215083e-05
0.17948610714   0.00343371561429   3.18462113935e-05
0.187323   0.00300963714825   3.07991254001e-05
0.19543456667   0.00268447339998   3.00393204213e-05
0.20382145161   0.00229041411289   2.92817575549e-05
0.21248325   0.00189095999062   2.83575276586e-05
0.2215575   0.0014881443   2.77803204578e-05
0.231044   0.00118618306288   2.84740195998e-05
0.24080569444   0.000917167849983   2.72892933621e-05
0.25097984211   0.000761583134232   2.65679180088e-05
0.2615664359   0.000655491230781   2.62805992823e-05
0.2725654878   0.000581959507332   2.57781461781e-05
0.28411448837   0.000567433590687   2.69880031249e-05
0.29607593182   0.000511036922718   2.59353712747e-05
0.30844986957   0.000448226582607   2.5092594887e-05
0.32137377083   0.000376117562502   2.44130013877e-05
0.33484762   0.000388031664   2.38838637938e-05
0.34887128846   0.000360582946156   2.53593953827e-05
0.36344505556   0.000245679466664   2.36920511322e-05
0.37856882143   0.000295031448212   2.29508804548e-05
0.39437984746   0.000221097533898   2.28399766831e-05
0.41087847541   0.000269888739346   2.34372433675e-05
0.42792696825   0.000283866485714   2.1986719063e-05
0.44566295455   0.000279187522727   2.1001125754e-05
0.46422378261   0.000237208243479   2.66470966833e-05
0.4834721831   0.000193864719719   4.54859297015e-05
0.49845836842   0.000301803773683   0.000129684381663
