#q 	 Iexp 	 Ifit_avg 	 Residuals_avg 	 Ifit_weightedavg 	 Residuals_weightedavg 
4.588200e-02 	2.178500e-04 	2.053611e-04 	5.039552e+00 	2.165763e-04 	5.139735e-01 
4.618200e-02 	2.143600e-04 	2.031813e-04 	4.528795e+00 	2.144001e-04 	-1.623186e-02 
4.648200e-02 	2.130300e-04 	2.010202e-04 	4.930474e+00 	2.122411e-04 	3.238584e-01 
4.678200e-02 	2.132000e-04 	1.988777e-04 	5.711637e+00 	2.100996e-04 	1.236420e+00 
4.708200e-02 	2.089300e-04 	1.967539e-04 	4.900903e+00 	2.079755e-04 	3.841728e-01 
4.738200e-02 	2.095100e-04 	1.946489e-04 	6.028163e+00 	2.058689e-04 	1.476939e+00 
4.768100e-02 	2.045600e-04 	1.925626e-04 	4.734005e+00 	2.037798e-04 	3.078432e-01 
4.798100e-02 	1.970900e-04 	1.904949e-04 	2.674018e+00 	2.017082e-04 	-1.872457e+00 
4.828100e-02 	1.946500e-04 	1.884459e-04 	2.481940e+00 	1.996539e-04 	-2.001814e+00 
4.858100e-02 	1.939500e-04 	1.864154e-04 	3.062494e+00 	1.976172e-04 	-1.490544e+00 
4.888100e-02 	1.920600e-04 	1.844037e-04 	3.153974e+00 	1.955980e-04 	-1.457464e+00 
4.918100e-02 	1.982700e-04 	1.824106e-04 	6.197998e+00 	1.935963e-04 	1.826541e+00 
4.948100e-02 	1.915900e-04 	1.804361e-04 	4.516933e+00 	1.916121e-04 	-8.932314e-03 
4.978100e-02 	1.889700e-04 	1.784801e-04 	4.215083e+00 	1.896453e-04 	-2.713486e-01 
5.008000e-02 	1.877600e-04 	1.765428e-04 	4.801758e+00 	1.876962e-04 	2.730764e-02 
5.038000e-02 	1.845700e-04 	1.746241e-04 	4.191953e+00 	1.857646e-04 	-5.035105e-01 
5.068000e-02 	1.815500e-04 	1.727239e-04 	3.714335e+00 	1.838506e-04 	-9.681639e-01 
5.098000e-02 	1.792500e-04 	1.708423e-04 	3.429003e+00 	1.819542e-04 	-1.102868e+00 
5.128000e-02 	1.785000e-04 	1.689793e-04 	3.980891e+00 	1.800753e-04 	-6.586662e-01 
5.158000e-02 	1.802300e-04 	1.671348e-04 	5.574898e+00 	1.782140e-04 	8.582627e-01 
5.188000e-02 	1.768200e-04 	1.653089e-04 	4.889292e+00 	1.763703e-04 	1.910064e-01 
5.217900e-02 	1.769200e-04 	1.635012e-04 	5.697015e+00 	1.745440e-04 	1.008755e+00 
5.247900e-02 	1.730500e-04 	1.617119e-04 	4.769698e+00 	1.727351e-04 	1.324743e-01 
5.277900e-02 	1.711500e-04 	1.599407e-04 	4.808802e+00 	1.709436e-04 	8.856577e-02 
5.307900e-02 	1.716500e-04 	1.581878e-04 	5.763560e+00 	1.691693e-04 	1.062076e+00 
5.337900e-02 	1.681400e-04 	1.564528e-04 	4.855436e+00 	1.674121e-04 	3.023902e-01 
5.367900e-02 	1.703400e-04 	1.547357e-04 	6.459946e+00 	1.656721e-04 	1.932438e+00 
5.397900e-02 	1.638700e-04 	1.530366e-04 	4.664406e+00 	1.639492e-04 	-3.409401e-02 
5.427900e-02 	1.614600e-04 	1.513552e-04 	4.375330e+00 	1.622432e-04 	-3.391381e-01 
5.457800e-02 	1.576800e-04 	1.496915e-04 	3.373915e+00 	1.605542e-04 	-1.213919e+00 
5.487800e-02 	1.593600e-04 	1.480453e-04 	4.833289e+00 	1.588820e-04 	2.042033e-01 
5.517800e-02 	1.580100e-04 	1.464167e-04 	5.056302e+00 	1.572265e-04 	3.417353e-01 
5.547800e-02 	1.572100e-04 	1.448056e-04 	5.350242e+00 	1.555878e-04 	6.997025e-01 
5.577800e-02 	1.566900e-04 	1.432117e-04 	5.845566e+00 	1.539655e-04 	1.181603e+00 
5.607800e-02 	1.541900e-04 	1.416351e-04 	5.371618e+00 	1.523600e-04 	7.829694e-01 
5.637800e-02 	1.506900e-04 	1.400757e-04 	4.555649e+00 	1.507709e-04 	-3.474193e-02 
5.667700e-02 	1.494200e-04 	1.385333e-04 	4.759545e+00 	1.491982e-04 	9.697252e-02 
5.697700e-02 	1.557800e-04 	1.370081e-04 	8.284023e+00 	1.476420e-04 	3.591304e+00 
5.727700e-02 	1.478300e-04 	1.354997e-04 	5.384280e+00 	1.461020e-04 	7.545753e-01 
5.757700e-02 	1.433300e-04 	1.340081e-04 	3.996360e+00 	1.445782e-04 	-5.351017e-01 
5.787700e-02 	1.452200e-04 	1.325334e-04 	5.565101e+00 	1.430706e-04 	9.428429e-01 
5.817700e-02 	1.433400e-04 	1.310753e-04 	5.424149e+00 	1.415790e-04 	7.788046e-01 
5.847700e-02 	1.405800e-04 	1.296337e-04 	4.804557e+00 	1.401034e-04 	2.091739e-01 
5.877600e-02 	1.391500e-04 	1.282084e-04 	4.799658e+00 	1.386435e-04 	2.221665e-01 
5.907600e-02 	1.386000e-04 	1.267994e-04 	5.112531e+00 	1.371994e-04 	6.068123e-01 
5.937600e-02 	1.333600e-04 	1.254065e-04 	3.515913e+00 	1.357707e-04 	-1.065652e+00 
5.967600e-02 	1.353000e-04 	1.240294e-04 	4.899985e+00 	1.343573e-04 	4.098465e-01 
5.997600e-02 	1.365000e-04 	1.226683e-04 	6.125482e+00 	1.329593e-04 	1.568009e+00 
6.027600e-02 	1.308100e-04 	1.213227e-04 	4.267645e+00 	1.315765e-04 	-3.447808e-01 
6.057600e-02 	1.298900e-04 	1.199928e-04 	4.458337e+00 	1.302087e-04 	-1.435496e-01 
6.087500e-02 	1.290700e-04 	1.186782e-04 	4.572931e+00 	1.288556e-04 	9.432801e-02 
6.117500e-02 	1.293400e-04 	1.173789e-04 	5.268384e+00 	1.275174e-04 	8.027810e-01 
6.147500e-02 	1.268400e-04 	1.160948e-04 	4.874433e+00 	1.261939e-04 	2.931027e-01 
6.177500e-02 	1.267000e-04 	1.148257e-04 	5.315481e+00 	1.248848e-04 	8.125434e-01 
6.207500e-02 	1.221800e-04 	1.135714e-04 	3.895511e+00 	1.235902e-04 	-6.381356e-01 
6.237500e-02 	1.215000e-04 	1.123320e-04 	4.241070e+00 	1.223099e-04 	-3.746614e-01 
6.267500e-02 	1.262400e-04 	1.111072e-04 	6.751418e+00 	1.210438e-04 	2.318274e+00 
6.297400e-02 	1.236300e-04 	1.098970e-04 	6.200380e+00 	1.197917e-04 	1.732978e+00 
6.327400e-02 	1.189300e-04 	1.087013e-04 	4.751497e+00 	1.185536e-04 	1.748290e-01 
6.357400e-02 	1.209600e-04 	1.075198e-04 	6.187457e+00 	1.173294e-04 	1.671437e+00 
6.387400e-02 	1.160800e-04 	1.063526e-04 	4.413432e+00 	1.161189e-04 	-1.765699e-02 
6.417400e-02 	1.163400e-04 	1.051994e-04 	5.293886e+00 	1.149219e-04 	6.738545e-01 
6.447400e-02 	1.140700e-04 	1.040601e-04 	4.573091e+00 	1.137385e-04 	1.514470e-01 
6.477400e-02 	1.118500e-04 	1.029345e-04 	4.200045e+00 	1.125683e-04 	-3.384004e-01 
6.507300e-02 	1.122000e-04 	1.018226e-04 	4.834551e+00 	1.114114e-04 	3.673939e-01 
6.537300e-02 	1.090600e-04 	1.007243e-04 	3.991674e+00 	1.102675e-04 	-5.782403e-01 
6.567300e-02 	1.133100e-04 	9.963925e-05 	6.191901e+00 	1.091367e-04 	1.890232e+00 
6.597300e-02 	1.066800e-04 	9.856755e-05 	3.817903e+00 	1.080186e-04 	-6.299702e-01 
6.627300e-02 	1.103600e-04 	9.750889e-05 	6.060510e+00 	1.069132e-04 	1.625482e+00 
6.657300e-02 	1.102500e-04 	9.646326e-05 	6.374562e+00 	1.058204e-04 	2.048105e+00 
6.687200e-02 	1.076000e-04 	9.543049e-05 	5.654600e+00 	1.047401e-04 	1.328869e+00 
6.717200e-02 	1.073800e-04 	9.441047e-05 	6.066283e+00 	1.036721e-04 	1.734313e+00 
6.747200e-02 	1.062000e-04 	9.340310e-05 	5.998696e+00 	1.026163e-04 	1.679882e+00 
6.777200e-02 	1.047300e-04 	9.240815e-05 	6.021916e+00 	1.015727e-04 	1.543045e+00 
